shop_id,name,address,city,state,zip,date,phone_number,website,animal_friendly
11,Moore and Sons,028 Barby Parkway,Kitsuki,,11,7/27/2020,450-220-3664,https://google.com.hk/ligula/pellentesque/ultrices/phasellus/id/sapien/in.json?enim=quam&leo=sollicitudin&rhoncus=vitae&sed=consectetuer&vestibulum=eget&sit=rutrum&amet=at&cursus=lorem&id=integer&turpis=tincidunt&integer=ante&aliquet=vel&massa=ipsum&id=praesent&lobortis=blandit&convallis=lacinia&tortor=erat&risus=vestibulum&dapibus=sed&augue=magna&vel=at&accumsan=nunc&tellus=commodo&nisi=placerat&eu=praesent&orci=blandit&mauris=nam&lacinia=nulla&sapien=integer&quis=pede&libero=justo&nullam=lacinia&sit=eget,false
12,"Koss, Morissette and Oberbrunner",9124 Elmside Hill,Zaqatala,,12,2/16/2021,605-983-3685,https://nps.gov/ultrices/mattis/odio/donec.html?amet=pede&turpis=malesuada&elementum=in&ligula=imperdiet&vehicula=et,false
13,Tromp-Lebsack,2741 Pleasure Center,Nsanje,,13,6/7/2021,518-965-8321,http://fc2.com/ut/rhoncus/aliquet/pulvinar/sed.json?rhoncus=sollicitudin&aliquet=vitae&pulvinar=consectetuer&sed=eget&nisl=rutrum&nunc=at&rhoncus=lorem&dui=integer&vel=tincidunt&sem=ante&sed=vel&sagittis=ipsum&nam=praesent&congue=blandit&risus=lacinia&semper=erat&porta=vestibulum&volutpat=sed&quam=magna&pede=at&lobortis=nunc&ligula=commodo&sit=placerat&amet=praesent&eleifend=blandit&pede=nam&libero=nulla&quis=integer&orci=pede&nullam=justo&molestie=lacinia&nibh=eget&in=tincidunt&lectus=eget&pellentesque=tempus&at=vel&nulla=pede&suspendisse=morbi&potenti=porttitor&cras=lorem&in=id&purus=ligula&eu=suspendisse&magna=ornare&vulputate=consequat&luctus=lectus&cum=in&sociis=est&natoque=risus&penatibus=auctor&et=sed&magnis=tristique&dis=in&parturient=tempus&montes=sit&nascetur=amet&ridiculus=sem&mus=fusce&vivamus=consequat&vestibulum=nulla&sagittis=nisl&sapien=nunc&cum=nisl&sociis=duis&natoque=bibendum&penatibus=felis&et=sed&magnis=interdum&dis=venenatis&parturient=turpis&montes=enim&nascetur=blandit&ridiculus=mi&mus=in&etiam=porttitor&vel=pede&augue=justo&vestibulum=eu&rutrum=massa,false
14,Thompson Group,031 Waxwing Way,Villasis,,14,6/28/2021,418-540-4928,https://networksolutions.com/nascetur/ridiculus/mus/vivamus.js?venenatis=posuere&non=cubilia&sodales=curae&sed=mauris&tincidunt=viverra&eu=diam&felis=vitae&fusce=quam&posuere=suspendisse&felis=potenti&sed=nullam&lacus=porttitor&morbi=lacus&sem=at&mauris=turpis&laoreet=donec&ut=posuere&rhoncus=metus&aliquet=vitae&pulvinar=ipsum&sed=aliquam&nisl=non&nunc=mauris&rhoncus=morbi&dui=non&vel=lectus&sem=aliquam&sed=sit&sagittis=amet&nam=diam&congue=in&risus=magna&semper=bibendum&porta=imperdiet&volutpat=nullam&quam=orci&pede=pede&lobortis=venenatis&ligula=non&sit=sodales&amet=sed&eleifend=tincidunt&pede=eu&libero=felis&quis=fusce&orci=posuere&nullam=felis&molestie=sed&nibh=lacus&in=morbi&lectus=sem&pellentesque=mauris&at=laoreet&nulla=ut&suspendisse=rhoncus&potenti=aliquet&cras=pulvinar&in=sed&purus=nisl&eu=nunc,false
15,Kris-Ebert,1086 Welch Pass,Ban Talat Bueng,,15,2/17/2021,706-132-1607,http://1688.com/accumsan.xml?in=vestibulum&libero=quam&ut=sapien&massa=varius&volutpat=ut&convallis=blandit&morbi=non&odio=interdum&odio=in&elementum=ante&eu=vestibulum&interdum=ante&eu=ipsum&tincidunt=primis&in=in&leo=faucibus&maecenas=orci&pulvinar=luctus&lobortis=et&est=ultrices&phasellus=posuere&sit=cubilia&amet=curae&erat=duis&nulla=faucibus&tempus=accumsan&vivamus=odio&in=curabitur&felis=convallis&eu=duis&sapien=consequat&cursus=dui&vestibulum=nec&proin=nisi&eu=volutpat&mi=eleifend&nulla=donec&ac=ut&enim=dolor&in=morbi&tempor=vel&turpis=lectus&nec=in&euismod=quam&scelerisque=fringilla&quam=rhoncus&turpis=mauris&adipiscing=enim&lorem=leo&vitae=rhoncus&mattis=sed&nibh=vestibulum&ligula=sit&nec=amet&sem=cursus&duis=id&aliquam=turpis&convallis=integer&nunc=aliquet&proin=massa&at=id&turpis=lobortis&a=convallis&pede=tortor&posuere=risus&nonummy=dapibus&integer=augue&non=vel&velit=accumsan&donec=tellus&diam=nisi,true
16,"Schamberger, Farrell and Hodkiewicz",0079 Welch Terrace,Santa Maria,,16,4/1/2021,352-240-4065,https://moonfruit.com/mauris/eget.js?non=pulvinar&mattis=nulla&pulvinar=pede&nulla=ullamcorper&pede=augue&ullamcorper=a&augue=suscipit&a=nulla&suscipit=elit&nulla=ac&elit=nulla&ac=sed&nulla=vel&sed=enim&vel=sit&enim=amet&sit=nunc&amet=viverra&nunc=dapibus&viverra=nulla&dapibus=suscipit&nulla=ligula&suscipit=in&ligula=lacus&in=curabitur&lacus=at&curabitur=ipsum&at=ac&ipsum=tellus&ac=semper&tellus=interdum&semper=mauris&interdum=ullamcorper&mauris=purus&ullamcorper=sit&purus=amet&sit=nulla&amet=quisque&nulla=arcu&quisque=libero&arcu=rutrum&libero=ac,false
17,Kertzmann-Bosco,46 Hazelcrest Terrace,Mohale’s Hoek,,17,11/22/2020,192-542-3888,https://craigslist.org/sed/ante/vivamus/tortor/duis/mattis/egestas.json?posuere=semper&felis=porta&sed=volutpat&lacus=quam&morbi=pede&sem=lobortis&mauris=ligula&laoreet=sit&ut=amet&rhoncus=eleifend&aliquet=pede,false
18,"Nader, Skiles and Price",0614 Rockefeller Court,Emiliano Zapata,OAX,18,12/23/2020,488-624-0900,https://lycos.com/eu/mi/nulla/ac/enim/in.xml?nullam=augue&porttitor=a&lacus=suscipit&at=nulla&turpis=elit&donec=ac&posuere=nulla&metus=sed&vitae=vel&ipsum=enim&aliquam=sit&non=amet&mauris=nunc&morbi=viverra&non=dapibus&lectus=nulla&aliquam=suscipit&sit=ligula&amet=in&diam=lacus&in=curabitur&magna=at&bibendum=ipsum&imperdiet=ac&nullam=tellus&orci=semper&pede=interdum&venenatis=mauris,true
19,Crona-Corkery,819 Dakota Park,Pinheiro,,19,9/4/2020,673-382-2220,http://chronoengine.com/rhoncus/aliquam/lacus.jpg?ante=neque&nulla=sapien&justo=placerat&aliquam=ante&quis=nulla&turpis=justo&eget=aliquam&elit=quis&sodales=turpis&scelerisque=eget&mauris=elit&sit=sodales&amet=scelerisque&eros=mauris&suspendisse=sit&accumsan=amet&tortor=eros&quis=suspendisse&turpis=accumsan&sed=tortor&ante=quis&vivamus=turpis&tortor=sed&duis=ante&mattis=vivamus&egestas=tortor,true
20,"Pfannerstill, Predovic and Runolfsdottir",35020 Eagan Lane,Armenia,,20,4/3/2021,657-227-1434,https://nih.gov/cubilia/curae/nulla/dapibus/dolor/vel/est.json?duis=amet&mattis=eleifend&egestas=pede&metus=libero&aenean=quis,true
21,"Von, Spinka and Rodriguez",29 Forster Alley,Yuqi,,21,9/19/2020,441-497-0485,http://nyu.edu/vulputate/ut/ultrices.png?posuere=vitae&cubilia=quam&curae=suspendisse&donec=potenti&pharetra=nullam&magna=porttitor&vestibulum=lacus&aliquet=at&ultrices=turpis&erat=donec&tortor=posuere&sollicitudin=metus&mi=vitae&sit=ipsum&amet=aliquam&lobortis=non&sapien=mauris&sapien=morbi&non=non&mi=lectus&integer=aliquam&ac=sit&neque=amet&duis=diam&bibendum=in&morbi=magna&non=bibendum&quam=imperdiet&nec=nullam&dui=orci&luctus=pede&rutrum=venenatis&nulla=non&tellus=sodales&in=sed&sagittis=tincidunt&dui=eu&vel=felis&nisl=fusce&duis=posuere&ac=felis&nibh=sed&fusce=lacus&lacus=morbi&purus=sem&aliquet=mauris&at=laoreet&feugiat=ut&non=rhoncus&pretium=aliquet&quis=pulvinar&lectus=sed&suspendisse=nisl&potenti=nunc&in=rhoncus&eleifend=dui&quam=vel&a=sem&odio=sed&in=sagittis&hac=nam&habitasse=congue&platea=risus&dictumst=semper&maecenas=porta&ut=volutpat&massa=quam&quis=pede&augue=lobortis&luctus=ligula&tincidunt=sit&nulla=amet&mollis=eleifend&molestie=pede&lorem=libero&quisque=quis&ut=orci&erat=nullam&curabitur=molestie&gravida=nibh&nisi=in&at=lectus&nibh=pellentesque&in=at&hac=nulla&habitasse=suspendisse&platea=potenti&dictumst=cras&aliquam=in&augue=purus&quam=eu&sollicitudin=magna&vitae=vulputate&consectetuer=luctus&eget=cum&rutrum=sociis&at=natoque&lorem=penatibus&integer=et&tincidunt=magnis,true
22,Homenick-Feeney,09 Fair Oaks Terrace,Ölgiy,,22,6/23/2021,924-875-8778,http://hc360.com/montes/nascetur/ridiculus/mus.html?justo=et&in=ultrices&hac=posuere&habitasse=cubilia&platea=curae&dictumst=duis&etiam=faucibus&faucibus=accumsan&cursus=odio&urna=curabitur&ut=convallis&tellus=duis&nulla=consequat&ut=dui&erat=nec&id=nisi&mauris=volutpat&vulputate=eleifend&elementum=donec&nullam=ut&varius=dolor&nulla=morbi&facilisi=vel&cras=lectus&non=in&velit=quam&nec=fringilla&nisi=rhoncus&vulputate=mauris&nonummy=enim&maecenas=leo&tincidunt=rhoncus&lacus=sed&at=vestibulum&velit=sit&vivamus=amet&vel=cursus&nulla=id&eget=turpis&eros=integer&elementum=aliquet&pellentesque=massa&quisque=id&porta=lobortis,false
23,"Borer, Prosacco and Will",061 Division Court,Ciseda,,23,12/14/2020,382-221-6229,http://businesswire.com/ut/tellus/nulla/ut/erat/id/mauris.jsp?parturient=feugiat&montes=non&nascetur=pretium&ridiculus=quis&mus=lectus&etiam=suspendisse&vel=potenti&augue=in&vestibulum=eleifend&rutrum=quam&rutrum=a&neque=odio&aenean=in&auctor=hac&gravida=habitasse&sem=platea&praesent=dictumst,false
24,Kunde-Terry,48 Rockefeller Street,Przybyszówka,,24,6/11/2021,852-111-1615,http://webmd.com/est/donec/odio/justo.js?dapibus=lectus&nulla=in&suscipit=est&ligula=risus&in=auctor&lacus=sed&curabitur=tristique&at=in&ipsum=tempus&ac=sit&tellus=amet&semper=sem&interdum=fusce&mauris=consequat&ullamcorper=nulla&purus=nisl&sit=nunc,false
25,Willms-Wyman,2 Darwin Pass,Soreang,,25,8/24/2020,985-559-9117,https://fc2.com/nam/ultrices/libero/non/mattis/pulvinar/nulla.json?a=luctus&libero=ultricies&nam=eu&dui=nibh&proin=quisque&leo=id&odio=justo&porttitor=sit&id=amet&consequat=sapien&in=dignissim&consequat=vestibulum&ut=vestibulum&nulla=ante&sed=ipsum&accumsan=primis&felis=in&ut=faucibus&at=orci&dolor=luctus&quis=et&odio=ultrices&consequat=posuere&varius=cubilia&integer=curae&ac=nulla&leo=dapibus&pellentesque=dolor&ultrices=vel&mattis=est&odio=donec&donec=odio&vitae=justo&nisi=sollicitudin&nam=ut&ultrices=suscipit&libero=a&non=feugiat&mattis=et&pulvinar=eros&nulla=vestibulum&pede=ac&ullamcorper=est&augue=lacinia&a=nisi&suscipit=venenatis&nulla=tristique&elit=fusce&ac=congue&nulla=diam&sed=id&vel=ornare,false
26,"Rogahn, Reynolds and Wisoky",0091 Arrowood Center,Jiangkou,,26,10/30/2020,811-392-8860,https://webeden.co.uk/id/ligula.jpg?sollicitudin=rutrum&ut=nulla&suscipit=tellus&a=in&feugiat=sagittis&et=dui&eros=vel&vestibulum=nisl&ac=duis&est=ac&lacinia=nibh&nisi=fusce&venenatis=lacus&tristique=purus&fusce=aliquet&congue=at&diam=feugiat&id=non&ornare=pretium&imperdiet=quis&sapien=lectus&urna=suspendisse&pretium=potenti&nisl=in&ut=eleifend&volutpat=quam&sapien=a&arcu=odio&sed=in&augue=hac&aliquam=habitasse&erat=platea&volutpat=dictumst&in=maecenas&congue=ut&etiam=massa&justo=quis&etiam=augue&pretium=luctus&iaculis=tincidunt&justo=nulla&in=mollis&hac=molestie&habitasse=lorem&platea=quisque&dictumst=ut&etiam=erat&faucibus=curabitur&cursus=gravida&urna=nisi&ut=at&tellus=nibh&nulla=in&ut=hac&erat=habitasse&id=platea&mauris=dictumst&vulputate=aliquam&elementum=augue&nullam=quam&varius=sollicitudin&nulla=vitae&facilisi=consectetuer&cras=eget&non=rutrum&velit=at&nec=lorem&nisi=integer&vulputate=tincidunt&nonummy=ante&maecenas=vel&tincidunt=ipsum&lacus=praesent&at=blandit&velit=lacinia&vivamus=erat&vel=vestibulum&nulla=sed&eget=magna&eros=at&elementum=nunc&pellentesque=commodo&quisque=placerat&porta=praesent&volutpat=blandit&erat=nam&quisque=nulla&erat=integer&eros=pede&viverra=justo&eget=lacinia&congue=eget&eget=tincidunt&semper=eget&rutrum=tempus,true
27,Grant Group,6 Mockingbird Trail,Caseros,,27,3/28/2021,724-670-6989,http://indiatimes.com/sed/lacus/morbi/sem/mauris/laoreet.json?tempus=aliquam&vivamus=convallis&in=nunc&felis=proin&eu=at&sapien=turpis&cursus=a&vestibulum=pede&proin=posuere&eu=nonummy&mi=integer&nulla=non&ac=velit&enim=donec&in=diam&tempor=neque&turpis=vestibulum&nec=eget&euismod=vulputate&scelerisque=ut&quam=ultrices&turpis=vel&adipiscing=augue&lorem=vestibulum&vitae=ante&mattis=ipsum&nibh=primis&ligula=in&nec=faucibus&sem=orci&duis=luctus&aliquam=et&convallis=ultrices&nunc=posuere&proin=cubilia&at=curae&turpis=donec&a=pharetra&pede=magna&posuere=vestibulum&nonummy=aliquet&integer=ultrices&non=erat&velit=tortor&donec=sollicitudin,true
28,Bogisich LLC,6 Myrtle Drive,Watari,,28,11/13/2020,223-954-3275,http://gizmodo.com/cum.js?pharetra=leo&magna=maecenas&vestibulum=pulvinar&aliquet=lobortis&ultrices=est&erat=phasellus&tortor=sit&sollicitudin=amet,true
29,Orn and Sons,7717 Bunting Junction,Jirjā,,29,4/18/2021,788-466-8981,http://scientificamerican.com/auctor/sed/tristique/in/tempus/sit.jsp?blandit=cursus&nam=id&nulla=turpis&integer=integer&pede=aliquet&justo=massa&lacinia=id&eget=lobortis&tincidunt=convallis&eget=tortor&tempus=risus&vel=dapibus&pede=augue&morbi=vel&porttitor=accumsan&lorem=tellus&id=nisi&ligula=eu&suspendisse=orci&ornare=mauris&consequat=lacinia&lectus=sapien&in=quis&est=libero&risus=nullam&auctor=sit&sed=amet&tristique=turpis&in=elementum&tempus=ligula&sit=vehicula,true
30,Okuneva-Brown,9243 Artisan Avenue,Cirahab,,30,9/16/2020,695-413-1162,https://hhs.gov/id/nisl/venenatis/lacinia/aenean/sit.jpg?libero=amet&non=sem&mattis=fusce&pulvinar=consequat&nulla=nulla&pede=nisl&ullamcorper=nunc&augue=nisl&a=duis&suscipit=bibendum&nulla=felis&elit=sed&ac=interdum&nulla=venenatis,false
31,"Kilback, Streich and Christiansen",3 Victoria Street,Quipot,,31,2/2/2021,736-979-6434,https://mozilla.com/tincidunt/in/leo/maecenas/pulvinar/lobortis/est.js?praesent=sociis&id=natoque&massa=penatibus&id=et&nisl=magnis&venenatis=dis&lacinia=parturient&aenean=montes&sit=nascetur&amet=ridiculus&justo=mus&morbi=etiam&ut=vel&odio=augue&cras=vestibulum&mi=rutrum&pede=rutrum&malesuada=neque&in=aenean&imperdiet=auctor&et=gravida&commodo=sem&vulputate=praesent&justo=id&in=massa&blandit=id&ultrices=nisl&enim=venenatis&lorem=lacinia&ipsum=aenean&dolor=sit&sit=amet&amet=justo&consectetuer=morbi&adipiscing=ut&elit=odio&proin=cras&interdum=mi&mauris=pede&non=malesuada&ligula=in&pellentesque=imperdiet&ultrices=et&phasellus=commodo&id=vulputate&sapien=justo&in=in&sapien=blandit&iaculis=ultrices&congue=enim&vivamus=lorem&metus=ipsum,true
32,"Luettgen, White and Hickle",0338 Moose Street,Wenling,,32,10/18/2020,201-764-7258,https://plala.or.jp/dis.aspx?vel=nulla&ipsum=suspendisse&praesent=potenti,true
33,Sanford Inc,4 Luster Junction,Jamaica,NY,33,10/28/2020,212-129-8689,https://smugmug.com/rhoncus/aliquet/pulvinar/sed/nisl/nunc.xml?nisl=cras&duis=mi&bibendum=pede&felis=malesuada&sed=in&interdum=imperdiet&venenatis=et&turpis=commodo&enim=vulputate&blandit=justo&mi=in&in=blandit&porttitor=ultrices&pede=enim&justo=lorem&eu=ipsum&massa=dolor&donec=sit&dapibus=amet&duis=consectetuer&at=adipiscing&velit=elit&eu=proin&est=interdum&congue=mauris&elementum=non&in=ligula&hac=pellentesque&habitasse=ultrices&platea=phasellus&dictumst=id&morbi=sapien&vestibulum=in&velit=sapien&id=iaculis&pretium=congue&iaculis=vivamus&diam=metus&erat=arcu&fermentum=adipiscing&justo=molestie&nec=hendrerit&condimentum=at&neque=vulputate&sapien=vitae&placerat=nisl&ante=aenean&nulla=lectus&justo=pellentesque&aliquam=eget&quis=nunc&turpis=donec&eget=quis&elit=orci&sodales=eget&scelerisque=orci&mauris=vehicula&sit=condimentum,false
34,"Vandervort, Cronin and Denesik",73382 Village Green Park,Namīn,,34,3/31/2021,493-728-6762,http://chronoengine.com/sit/amet/turpis/elementum/ligula/vehicula.js?erat=donec&volutpat=pharetra&in=magna&congue=vestibulum&etiam=aliquet&justo=ultrices&etiam=erat&pretium=tortor&iaculis=sollicitudin&justo=mi&in=sit&hac=amet&habitasse=lobortis&platea=sapien&dictumst=sapien&etiam=non&faucibus=mi&cursus=integer,false
35,Reichel-O'Reilly,9519 Katie Road,Monte Alto,,35,1/8/2021,626-702-4650,https://globo.com/pellentesque/viverra/pede.html?lorem=eros&id=elementum&ligula=pellentesque&suspendisse=quisque&ornare=porta&consequat=volutpat&lectus=erat&in=quisque&est=erat&risus=eros&auctor=viverra&sed=eget&tristique=congue&in=eget&tempus=semper&sit=rutrum&amet=nulla&sem=nunc&fusce=purus&consequat=phasellus&nulla=in&nisl=felis&nunc=donec&nisl=semper&duis=sapien&bibendum=a&felis=libero&sed=nam&interdum=dui&venenatis=proin&turpis=leo&enim=odio&blandit=porttitor&mi=id&in=consequat&porttitor=in&pede=consequat&justo=ut&eu=nulla,false
36,Goodwin-Pfeffer,4400 Eagan Lane,Sulitair,,36,8/29/2020,121-808-9081,http://dropbox.com/volutpat/in/congue/etiam.html?amet=consequat&eleifend=nulla&pede=nisl&libero=nunc&quis=nisl&orci=duis&nullam=bibendum&molestie=felis&nibh=sed&in=interdum&lectus=venenatis&pellentesque=turpis&at=enim&nulla=blandit&suspendisse=mi&potenti=in&cras=porttitor&in=pede&purus=justo&eu=eu&magna=massa&vulputate=donec&luctus=dapibus,false
